# BILLI 프로젝트 의존성 추적 (ADR-001 D7)
# 형식: <패키지> | <추가일> | <이유> | <제거 조건>

# 시스템 (base) — core/health/health.py 잔재 0 검증 대상
bash       | 2026-05-02 | core 스크립트 실행 | agent-base 폐기 시
python3    | 2026-05-02 | core 모듈·agent-billi.py 실행 | agent-base 폐기 시
git        | 2026-05-02 | repo_path 폴링·diff·체크아웃 | agent-base 폐기 시
gh         | 2026-05-02 | PR 상태·진행 상태 동기화 | agent-base 폐기 시
jq         | 2026-05-02 | core 스크립트 JSON 파싱 보조 | agent-base 폐기 시

# Python 패키지 (root requirements.txt 정합, BILLI msg 442)
pyyaml     | 2026-05-03 | core/lib/config.py — projects/<proj>/config.yml 파싱 | core 가 yaml 사용 중단 시

# 시스템 (handoff) — BILLI msg 447, L1 #48 handoff Drive 표준 VPS 적용
rclone     | 2026-05-03 | systemd/rclone-handoff.service — gdrive:Klys-LAB/BILLI/handoff 마운트 | handoff Drive 표준 폐기 시
fuse3      | 2026-05-03 | rclone mount FUSE 백엔드 (fusermount3 unmount) | rclone 제거 시

# 시스템 (VNC GUI 1회 로그인) — BILLI msg 455, P2-003-R2 Phase 1 (broker login 패턴)
x11vnc     | 2026-05-03 | systemd/vnc-billi.service — Xvfb :98 attach, MT5 GUI 1회 로그인 | broker_meta 자동 동기화 정착 시 (또는 후속 P2-003-R3 결정)
openssl    | 2026-05-03 | setup-vnc.sh password 발급 (rand -base64) | VNC 제거 시
